tx_hash,from,to,value_xdc,value_usd,token_symbol,block_number,timestamp
3a38943848afbe8f01308b5e83dd1d3767d971b3bd0971966928ae39db934778,0xB135e134693C800548320d58F20c397FacB8bAf4,0xC1b519019639c7e684C6626440B448582CbE0A75,100003.9965415046,7731.3206780069,XDC,88127202,2025-05-01 16:15:26
b6481f6cdf780a860bf0c8969400f9ae0e335233af2d2226ac90cc8330706c55,0x556052af8B4f001b659066E061836B174E39c539,0x3139df715934567f0664fdC1AA7A267c19E7f6f2,100000.0,7731.011704915387,XDC,88128242,2025-05-01 16:52:21
06cc10ebf7894fec877a06310301b20bad7c059bc64f762e0b48fa171f0eab7d,0x3139df715934567f0664fdC1AA7A267c19E7f6f2,0x4e5d2dDF1c5060a64d70Eec1731710F49A76D2BF,99999.999708625,7731.011682389151,XDC,88128298,2025-05-01 16:54:21
c2113a7d7120f055af9713a3ae8c472eda4bf05fe3e57389297c21c2ec3a6f47,0xfC5D21777A50F00536Ab57A11507912A03c34606,0x4f8670E00a164CCC908B7c604ef7ebB26A424C3C,2447690.0,189231.20040004345,XDC,88128454,2025-05-01 17:00:23
48374bb7f80edec68d3c1bd99f9b423cc753d254f20cded3120116fc09940ac2,0x4f8670E00a164CCC908B7c604ef7ebB26A424C3C,0x472c619028bA67B817b48f8d64DBB7699Ce0fadf,2447689.9997375,189231.20037974956,XDC,88128526,2025-05-01 17:02:57
